Fecha;HORA;PAB01_PTR_I02_PV
03/10/2022;0:00:00;5.70074
03/10/2022;0:10:00;5.69762
03/10/2022;0:20:00;5.64203
03/10/2022;0:30:00;5.62563
03/10/2022;0:40:00;5.62426
03/10/2022;0:50:00;5.62981
03/10/2022;1:00:00;5.63419
03/10/2022;1:10:00;5.64574
03/10/2022;1:20:00;5.68199
03/10/2022;1:30:00;5.69392
03/10/2022;1:40:00;5.69673
03/10/2022;1:50:00;5.69515
03/10/2022;2:00:00;5.69506
03/10/2022;2:10:00;5.69536
03/10/2022;2:20:00;5.70011
03/10/2022;2:30:00;5.70813
03/10/2022;2:40:00;5.71879
03/10/2022;2:50:00;5.73747
03/10/2022;3:00:00;5.76443
03/10/2022;3:10:00;5.77921
03/10/2022;3:20:00;5.80453
03/10/2022;3:30:00;5.8175
03/10/2022;3:40:00;5.82887
03/10/2022;3:50:00;5.83916
03/10/2022;4:00:00;5.84286
03/10/2022;4:10:00;5.86107
03/10/2022;4:20:00;5.92348
03/10/2022;4:30:00;5.94812
03/10/2022;4:40:00;5.48418
03/10/2022;4:50:00;4.81783
03/10/2022;5:00:00;4.41754
03/10/2022;5:10:00;4.17214
03/10/2022;5:20:00;4.00261
03/10/2022;5:30:00;3.88287
03/10/2022;5:40:00;3.81494
03/10/2022;5:50:00;3.76276
03/10/2022;6:00:00;3.73767
03/10/2022;6:10:00;3.74477
03/10/2022;6:20:00;3.82621
03/10/2022;6:30:00;3.90122
03/10/2022;6:40:00;3.9398
03/10/2022;6:50:00;3.91628
03/10/2022;7:00:00;3.89497
03/10/2022;7:10:00;3.87675
03/10/2022;7:20:00;3.79934
03/10/2022;7:30:00;3.72356
03/10/2022;7:40:00;3.67892
03/10/2022;7:50:00;3.63538
03/10/2022;8:00:00;3.60737
03/10/2022;8:10:00;3.60816
03/10/2022;8:20:00;3.6424
03/10/2022;8:30:00;3.74405
03/10/2022;8:40:00;2.80639
03/10/2022;8:50:00;1.56361
03/10/2022;9:00:00;1.57615
03/10/2022;9:10:00;1.7168
03/10/2022;9:20:00;1.52378
03/10/2022;9:30:00;1.68363
03/10/2022;9:40:00;1.59246
03/10/2022;9:50:00;1.60521
03/10/2022;10:00:00;1.64214
03/10/2022;10:10:00;1.57434
03/10/2022;10:20:00;1.63366
03/10/2022;10:30:00;1.58974
03/10/2022;10:40:00;1.60044
03/10/2022;10:50:00;1.60862
03/10/2022;11:00:00;1.57977
03/10/2022;11:10:00;1.60551
03/10/2022;11:20:00;1.57658
03/10/2022;11:30:00;1.58651
03/10/2022;11:40:00;1.58326
03/10/2022;11:50:00;1.56802
03/10/2022;12:00:00;1.5831
03/10/2022;12:10:00;2.72984
03/10/2022;12:20:00;3.43714
03/10/2022;12:30:00;3.72056
03/10/2022;12:40:00;3.83197
03/10/2022;12:50:00;3.89094
03/10/2022;13:00:00;3.92009
03/10/2022;13:10:00;3.93527
03/10/2022;13:20:00;3.94335
03/10/2022;13:30:00;3.94864
03/10/2022;13:40:00;3.98365
03/10/2022;13:50:00;3.98238
03/10/2022;14:00:00;3.95444
03/10/2022;14:10:00;3.94127
03/10/2022;14:20:00;3.92526
03/10/2022;14:30:00;3.88158
03/10/2022;14:40:00;3.84285
03/10/2022;14:50:00;3.80857
03/10/2022;15:00:00;3.78788
03/10/2022;15:10:00;3.77349
03/10/2022;15:20:00;3.75957
03/10/2022;15:30:00;3.74853
03/10/2022;15:40:00;3.73872
03/10/2022;15:50:00;3.72609
03/10/2022;16:00:00;3.72002
03/10/2022;16:10:00;3.71543
03/10/2022;16:20:00;3.70365
03/10/2022;16:30:00;3.6894
03/10/2022;16:40:00;3.68007
03/10/2022;16:50:00;3.6726
03/10/2022;17:00:00;3.67257
03/10/2022;17:10:00;3.67339
03/10/2022;17:20:00;3.674
03/10/2022;17:30:00;3.67894
03/10/2022;17:40:00;3.68686
03/10/2022;17:50:00;3.70095
03/10/2022;18:00:00;3.71141
03/10/2022;18:10:00;3.72407
03/10/2022;18:20:00;3.75701
03/10/2022;18:30:00;3.79134
03/10/2022;18:40:00;3.79757
03/10/2022;18:50:00;3.80629
03/10/2022;19:00:00;3.80799
03/10/2022;19:10:00;3.80438
03/10/2022;19:20:00;3.79814
03/10/2022;19:30:00;3.78779
03/10/2022;19:40:00;3.78153
03/10/2022;19:50:00;3.78741
03/10/2022;20:00:00;3.80322
03/10/2022;20:10:00;3.82585
03/10/2022;20:20:00;3.80244
03/10/2022;20:30:00;3.99208
03/10/2022;20:40:00;5.05412
03/10/2022;20:50:00;5.55754
03/10/2022;21:00:00;5.75188
03/10/2022;21:10:00;5.82757
03/10/2022;21:20:00;5.8591
03/10/2022;21:30:00;5.86523
03/10/2022;21:40:00;5.87277
03/10/2022;21:50:00;5.87653
03/10/2022;22:00:00;5.88118
03/10/2022;22:10:00;5.87811
03/10/2022;22:20:00;5.8871
03/10/2022;22:30:00;5.88023
03/10/2022;22:40:00;5.90413
03/10/2022;22:50:00;5.9222
03/10/2022;23:00:00;5.92401
03/10/2022;23:10:00;5.91844
03/10/2022;23:20:00;5.91545
03/10/2022;23:30:00;5.92037
03/10/2022;23:40:00;5.91886
03/10/2022;23:50:00;5.86755
04/10/2022;0:00:00;5.82051
04/10/2022;0:10:00;5.79484
04/10/2022;0:20:00;5.77067
04/10/2022;0:30:00;5.75731
04/10/2022;0:40:00;5.75446
04/10/2022;0:50:00;5.7828
04/10/2022;1:00:00;5.80135
04/10/2022;1:10:00;5.80561
04/10/2022;1:20:00;5.80256
04/10/2022;1:30:00;5.80131
04/10/2022;1:40:00;5.79873
04/10/2022;1:50:00;5.78566
04/10/2022;2:00:00;5.77794
04/10/2022;2:10:00;5.76901
04/10/2022;2:20:00;5.77248
04/10/2022;2:30:00;5.81244
04/10/2022;2:40:00;5.84233
04/10/2022;2:50:00;5.84616
04/10/2022;3:00:00;5.85036
04/10/2022;3:10:00;5.85176
04/10/2022;3:20:00;5.86158
04/10/2022;3:30:00;5.85904
04/10/2022;3:40:00;5.8585
04/10/2022;3:50:00;5.86325
04/10/2022;4:00:00;5.86087
04/10/2022;4:10:00;5.85834
04/10/2022;4:20:00;5.84503
04/10/2022;4:30:00;5.83485
04/10/2022;4:40:00;5.84047
04/10/2022;4:50:00;5.83046
04/10/2022;5:00:00;5.81084
04/10/2022;5:10:00;5.81526
04/10/2022;5:20:00;5.45523
04/10/2022;5:30:00;4.76642
04/10/2022;5:40:00;4.36213
04/10/2022;5:50:00;4.10646
04/10/2022;6:00:00;3.96491
04/10/2022;6:10:00;3.89929
04/10/2022;6:20:00;3.86876
04/10/2022;6:30:00;3.87
